Occu,Year,sGrassHt2019,sLichen2019,sReliefPlot,sRelief200L,sOIS,PreFlood,OIS,GrassHt2019,Lichen2019,ReliefPlotL,Relief200mL
NA,2020,-0.305494541,1.109755383,-0.718926377,-0.718926377,0.001765841,0,9.9,5.315,65,-1.171182982,-0.673344553
NA,2020,0.003026227,-0.968841804,1.054707759,1.054707759,0.001765841,0,9.9,6.28,16,1.793424749,3.555633735
NA,2020,-1.37332808,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,1.975,52,0.009950331,0.009950331
NA,2020,-0.858593949,1.024914682,0.812627907,0.812627907,0.001765841,0,9.9,3.585,63,1.388791241,3.555633735
NA,2020,-0.504993981,-0.078014438,0.732953255,0.732953255,0.001765841,0,9.9,4.691,37,1.255616037,2.63977136
NA,2020,1.737456451,0.558290823,-0.01229044,-0.01229044,0.001765841,0,9.9,11.705,52,0.009950331,1.388791241
NA,2020,-0.431780244,0.176507666,-0.01229044,-0.01229044,0.001765841,0,9.9,4.92,43,0.009950331,0.698134722
NA,2020,-0.855396843,1.873321697,1.054707759,1.054707759,0.001765841,0,9.9,3.595,83,1.793424749,3.17847041
NA,2020,-1.411693357,0.431029771,-0.01229044,-0.01229044,0.001765841,0,9.9,1.855,49,0.009950331,1.101940079
NA,2020,2.453608285,0.38860942,-0.01229044,-0.01229044,0.001765841,0,9.9,13.945,48,0.009950331,0.009950331
NA,2020,-1.214751603,-0.841580752,-0.01229044,-0.01229044,0.001765841,0,9.9,2.471,19,0.009950331,0.009950331
NA,2020,1.727865131,-0.417377244,1.054707759,1.054707759,0.001765841,0,9.9,11.675,29,1.793424749,3.044998515
NA,2020,-0.75676611,-1.647567416,0.641013629,0.641013629,0.001765841,0,9.9,3.9035,0,1.101940079,1.388791241
NA,2020,-0.177610285,-1.647567416,-0.01229044,-0.01229044,0.001765841,0,9.9,5.715,0,0.009950331,0.009950331
NA,2020,-0.062514455,0.218928017,0.399429234,0.399429234,0.001765841,0,9.9,6.075,44,0.698134722,1.947337701
NA,2020,0.626461975,-1.223363909,-0.01229044,-0.01229044,0.001765841,0,9.9,8.23,10,0.009950331,0.009950331
NA,2020,-0.081697093,0.855233279,0.399429234,0.399429234,0.001765841,0,9.9,6.015,59,0.698134722,0.698134722
NA,2020,-0.749892332,0.558290823,0.399429234,0.399429234,0.001765841,0,9.9,3.925,52,0.698134722,2.862772146
NA,2020,-0.677318016,1.024914682,-0.01229044,-0.01229044,0.001765841,0,9.9,4.152,63,0.009950331,0.920282753
NA,2020,0.271583165,0.38860942,0.812627907,0.812627907,0.001765841,0,9.9,7.12,48,1.388791241,2.741484977
NA,2020,0.798146589,0.770392577,-0.01229044,-0.01229044,0.001765841,0,9.9,8.767,57,0.009950331,0.009950331
NA,2020,-0.872980928,0.982494331,-0.01229044,-0.01229044,0.001765841,0,9.9,3.54,62,0.009950331,0.009950331
NA,2020,-0.412597606,0.218928017,-2.773375898,-2.773375898,0.001765841,0,9.9,4.98,44,-4.605170186,-4.605170186
NA,2020,0.60408223,-0.290116192,-0.01229044,-0.01229044,0.001765841,0,9.9,8.16,32,0.009950331,0.009950331
NA,2020,0.72876938,-0.799160401,-0.01229044,-0.01229044,0.001765841,0,9.9,8.55,20,0.009950331,0.698134722
NA,2020,-0.60921965,1.576379241,-0.01229044,-0.01229044,0.001765841,0,9.9,4.365,76,0.009950331,0.009950331
NA,2020,0.600885124,0.006826263,-0.01229044,-0.01229044,0.001765841,0,9.9,8.15,39,0.009950331,0.009950331
NA,2020,0.156487334,1.109755383,-0.01229044,-0.01229044,0.001765841,0,9.9,6.76,65,0.009950331,2.862772146
NA,2020,1.913297303,1.152175734,1.226570229,1.226570229,0.001765841,0,9.9,12.255,66,2.080690761,3.434309733
